業界,概要文
人材紹介業界の会社,広島県広島市内を中心に、人材派遣サービスや人材紹介サービスを主に行う。部品および食品製造の補助作業や一般および営業事務の他、送迎ドライバー等を派遣する。業務内容のネット見学が可能であるのが特徴。
高齢者向け福祉業界の会社,小規模多機能型居宅介護事業所「よつば」を運営している。訪問サービスや宿泊サービスなどの介護サービスを提供。加えて、介護全般の相談やケアプラン作成などを行うケアマネジメントサービスを手掛ける。また、デイサービス「りんどう」老人ホーム「もみじ」グループホーム「まつかさ園」の運営を担う。
Webサービス・アプリ運営業界の会社,FXや株式投資を体験型で学習できるアプリの運営を行っている。マネープランシミュレーションアプリ「トウシカ」や株取引を体感するアプリ「株たす」などを運営。また、広告配信やアプリ開発などのマーケティング支援なども手掛ける。
ゴルフ場業界の会社,茨城県牛久市にて、ゴルフ場「金乃台カントリークラブ」を運営する。
マンション・アパート賃貸業界の会社,デザイナー物件と呼ばれる物件の賃貸や売買を行う会社。アパートやマンション、戸建ておよび事務所の賃貸や、土地、中古戸建のほか中古マンションの売買などを取り扱う。一級建築士の建築家に、賃貸集合住宅から個人住宅、オフィスなどの企画・工事管理まで、総合的に相談することも可能。
食品店業界の会社,大福などの和菓子やロールケーキなどの洋菓子を販売する「霧島菓子処 森三」を運営する。各商品の通信販売も手掛ける。
高齢者向け福祉業界の会社,「住宅型有料老人ホームメープルコートまつばら」、「住宅型有料老人ホームメープルコートあまみ」の運営を手掛ける。また、入居施設での介護や、訪問介護および訪問看護も行う。その他、福祉用具レンタルにも対応。
人材紹介業界の会社,企業の経営戦略・人事戦略に沿った提案・人材紹介を行う会社であり、ヘッドハンティングやエグゼクティブリサーチを行っている。ヘッドハンティングの過去3年の成功率は93％、定着率は97％と高い業績を残していることが強みである。定年退職したシニアの人材活用にも力を入れている。
高齢者向け福祉業界の会社,老人福祉や介護事業を行い、訪問介護や居宅介護支援、通所支援および訪問看護などを手掛ける。また、「デイサービス スマイルケア」で理学療法士やマッサージ師によるリハビリテーションやエアロバイクおよびセラバンドなども行う。
高齢者向け福祉業界の会社,株式会社アシックスの子会社として、兵庫県神戸市を拠点に機能訓練特化型デイサービス施設「Tryus」の運営を手掛け、リハビリや運動プログラムの提供に携わる。機能訓練指導員や看護師が常駐しサポートにあたる点が特徴。
タクシー業界の会社,相模交通株式会社との共同配車センターを運営し、藤沢市、大和市、綾瀬市に配車可能なタクシーを2018年現在32台保有。その内、2台は通常のタクシーと同じ料金で利用可能なユニバーサルデザインタクシーである。また、子育て支援や陣痛や通院などの際の送迎にも対応している。
自動車部品・カー用品製造業界の会社,KYB株式会社の子会社に位置し、主に自動車部品の油圧ベーンポンプの加工・製造を行う。パワーステアリング及び無段変速機の作動油を加圧するベーンポンプを主力製品としている。その他、スタブシャフトなどEPS用部品加工を手掛ける。
高齢者向け福祉業界の会社,介護職員や生活相談員などによる健康チェックやレクレーションなどのデイサービス支援を行う。また、グループホームも運営しており、高齢者の介護支援も実施している。他にも、配食サービスや、リハビリテーションや介護タクシーの営業なども手掛けている。
警備業界の会社,主に機械警備や施設警備を行っている。また、作業現場道路及び駐車場等で交通誘導警備も行う。その他、夜間の公園を巡回する防犯パトロールの役割も担っており、個人向けにはホームセキュリティサービスも実施している。
金属部品製造業界の会社,車載機器やモバイル機器および産業機械などの、プレス加工による金属部品の製造を行う。また、スポット加工やタップ加工およびカシメ加工などの金属加工も手掛ける。さらに、金型の製作にも対応する点が特徴。
ゴルフ場業界の会社,埼玉県さいたま市にて、「大宮国際カントリークラブ」の運営を手掛ける。また、ゴルフ用品の販売およびレストランの運営を行う。
水産物食品専門商社業界の会社,魚介類の仕入れを行い、量販店や百貨店などに卸売を手掛ける。また、大阪産しらすや国産真サバ、養殖マダイの加工にも対応する。その他、養殖トラフグやノルウェーサーモンなども取り扱う。自社ECサイトやYahoo!ショッピングでの一般消費者向けの販売にも対応する。
医療機器・実験機器メーカー業界の会社,採血用の針や溶解液注入針などの注射針をはじめ、フィルター付き輸液セットやガイドワイヤ等の製造を行う。さらに脊椎液の採取などに用いるスパイナル針や人工授精用カテーテルのニプロAIHキャスの製造にも対応する。
警備業界の会社,防災監視盤などから24時間遠隔監視を行う機械警備や、常駐警備などの警備業を展開している。また、道路工事現場などでの交通誘導や、万引き対策などの保安警備にも取り組む。その他、不法入場者の確認などを行う巡回警備や、駐車場管理などを担っている。
高齢者向け福祉業界の会社,老人介護施設「けあらいふ」やデイサービスセンター「せっしょん」の運営および福祉用具のレンタルや販売を行っている。また、旅行の手配「厚友会トラベル」及び市役所や病院などで売店を運営。その他にレストラン「ななかまど」「はなさき」「シンフォニー」などの運営を行う。
金属部品製造業界の会社,ロボットおよびOA機器や電子機器、医療機器や工作機械、制御盤などの精密板金部品の製造を行う。また、板金試作部品の製作やプレス加工も手掛ける。その他にも、アルミやステンレスの特殊溶接加工やレーザー切断およびレーザー溶接にも対応する。
高齢者向け福祉業界の会社,デイサービス｢おもてなしハイジ｣などの運営を行う。また、居宅介護支援や訪問介護も担っている。その他、移動用リフトや車いすなど福祉用具のレンタルや販売を手掛ける。
高齢者向け福祉業界の会社,高齢者総合福祉施設「ひいらぎの里」の運営を手掛けており、認知性対応型グループホームや入浴や食事、レクリエーションならびに機能回復訓練を行う。また、居宅介護支援事業や、訪問介護事業ならびに、通所介護事業なども請け負う。
タクシー業界の会社,タクシーやバス事業を行う飛鳥交通グループのグループ会社として、埼玉県越谷市にて「越谷営業所」の運営を手掛ける。
美容サロン業界の会社,奈良を中心に、京都および大阪にも店舗を構え、美容室の経営を主な事業としている会社。美容室に併設されたものも含め、ネイルサロンやアイサロン、スパも手掛けている。また、京都の街中での写真撮影への出張なども展開中。
高齢者向け福祉業界の会社,入浴や排泄および食事など生活機能の機能訓練を行う施設を運営する。また、身体機能や生活機能の訓練を行う通所介護施設｢デイサービスセンターほほえみ｣も運営。また、医療機関の定期受診の送迎および付添いなども行っている。
自動車部品・カー用品製造業界の会社,株式会社イエローハットの連結子会社で、自動車用品の販売および取付を手掛ける。また、タイヤ交換やオイル交換などの車の整備や点検およびメンテナンスも請け負う。
高齢者向け福祉業界の会社,グループホーム「グループほーむ はくい 楓の家」や小規模多機能型介護施設「ケアほーむ 楓の家」などの運営を行う。食事や入浴の介助を手掛ける。
金属部品製造業界の会社,パワーショベルやフォークリフトといった建設・産業機械の部品加工および製造を行う。また、建設機械や産業車両の改造並びに特殊車両の車検・整備を請負うほか、新車・中古車の販売も行う。その他、下水道菅維持管理ロボット「メカモグ」や、ダイオキシン対応小型高性能焼却炉などの環境関連機器の設計・開発も行っている。
警備業界の会社,事業所や各種施設の警備業務や事故防止に携わり、盗難や火災等の防止や担当区域の巡回チェックを行う。また建設現場や道路工事等での車両や歩行者の交通誘導や安全運用を遂行する。他に花火大会やコンサート等のイベント行事における案内サービスや交通誘導にも対応する。
高齢者向け福祉業界の会社,住宅型有料老人ホーム「リアン瀬古東」「リアン一つ山」「リアン一宮牛野通」を運営している。老人ホームは全室個室で、通所介護を併設する。また、訪問介護や訪問看護による居宅での介護支援も手掛けている。
Webサービス・アプリ運営業界の会社,アプリケーションなどをデバックや外形監視、モニタリングできるプラットフォームの運営を行う。また、ログ管理やインフラ監視なども行える点が特徴。
ゴルフ場業界の会社,全27コースで構成されるゴルフクラブ「烏山城カントリークラブ」の運営を行う。クラブハウスやレストランの設置に合わせ、温泉施設や練習場も完備されており、プレーヤー重視の施設が用意されていることを強みとする。
美容サロン業界の会社,美容室「L’Amour」やカット専門店「Cut hair」、ヘアカラー専門店「Color Hair」のなどの運営を手掛ける。
居酒屋・バー業界の会社,静岡県にて居酒屋を7店舗経営する。運営店舗は「うお鶏」や「鶏菜」、「ごっつぁんです」、「串ぐろ」の4つがある。それぞれの店舗では、銘柄鶏や新鮮な魚を強みとしている。「うお鶏」、「鶏菜」や「串ぐろ」では、完全個室を備えている。
金属部品製造業界の会社,自動車部品用のプレス金型や治具工具等の設計、製造を主に行う。収容取引先として、三菱自動車株式会社、株式会社クボタなどがある。
居酒屋・バー業界の会社,「大衆居食家 しょうき」という居酒屋を福岡県内に有し、運営を行う。主なメニューには「刺身枡盛り」や「秘伝の手羽唐」「ひとくち餃子」などがある。また、「まぐろ鉄火丼とちくわの磯辺揚げ」などを使った季節替わり定食やイチオシ定食をランチとして提供することが特徴。
タクシー業界の会社,中型車でのタクシー運行や、車いすや大きな荷物などに対応可能なユニバーサルデザインタクシーでのタクシー運行を行っている。乗降をサポートするステップや手すりを装備している。また、車両にカーナビやドライブレコーダ、防犯カメラを設置していることが特徴。
タクシー業界の会社,大和自動車交通株式会社の関連会社で、タクシーや福祉ハイヤーの運行を手掛けている。
金属部品製造業界の会社,LED照明器具部品や厨房機器部品、住宅用金物部品、台車部品などの金属加工による製造を手掛ける。また、金型の設計および製作を請け負う。その他、浴室用建材の製造や、冷延鋼板やカラー鋼板など金属プレス加工品を製作。
高齢者向け福祉業界の会社,訪問看護リハビリステーション「あわーず」や居宅介護支援ステーション「あわーず」などの運営を行っている。また有料老人ホームなどの施設に訪問し健康管理や体操教室、病後ケアの助言やリハビリ状況への助言などの看護も手掛ける。
警備業界の会社,交通誘導警備や施設警備、駐車場警備を主に行っている。施設警備ではあらかじめ設置された防災・防犯などの機器を監視し、事故発生を防止。どのような非常事態にも対処できる機動力を発揮できるよう訓練している。他にも、マンション管理組合のサポートや、設備管理から清掃まで総合的にサポートしている。
自動車部品・カー用品製造業界の会社,自動車用電子装置の製造などを手掛ける。また、生活家電や産業機器の開発や製造などにも取り組む。
保険代理店業界の会社,関西を中心に生命保険および損害保険の代理販売を手掛ける。
ゴルフ場業界の会社,株式会社九電工の関連会社で、観光部門を担っている。佐賀市にゴルフ場を所有。2ペントグリーンを採用したコースのため、1年を通してのプレーが可能。様々なコンペを行っており、食をメインとしたものや男女ペアでのラウンドなどを開催する。
居酒屋・バー業界の会社,手羽先唐揚げや串揚げなどを提供する居酒屋「てば壱」や回転すし「廻転とやま鮨」を運営する。またビストロやワインを提供する「オリエンタルビストロ アガリコ」や肉料理中心の「ビストロ デュ マルシェゴッツォーネ」も運営する。この他「ボンジュールSAKATA」や焼肉「牛角」も手掛ける。
水産物食品専門商社業界の会社,愛知県名古屋市において、山文グループのグループ会社として水産物の卸売や仲卸を行う。
自動車部品・カー用品製造業界の会社,愛知県名古屋市において、自動車の純正部品や純正用品の開発を行う。主な開発製品として、本木部品やホイール、ならびにフロアマットやセキュリティー用品などを取り扱っている。
金属部品製造業界の会社,ベアリングメーカーに向け、保持器及びそのプレス金型の製造を行なっている。ロッカーアーム等の自動車部品や、建設機械用保持器及び車両用保持器等の生産に対応。中西金属工業株式会社のグループ会社である。
医療機器・実験機器メーカー業界の会社,エアウォーター株式会社の子会社であり、医療用酸素濃縮装置や汎用輸液ポンプ等を中心に、医療機器の開発や製造、修理や保守を行う。主な製品として、在宅酸素療法用の酸素濃縮装置「O2グリーンいぶき」等の製品がある。
自動車部品・カー用品製造業界の会社,自動車照明や電子機器製品などの自動車電装品の製造を行っている。製品が使用されている主な製品は「ハイマウントストラップランプ」「イルミネーションライト」などである。自動車用ランプや電子機器製品およびその周辺製品を供給している。
人材紹介業界の会社,理系学生および中途人材と直接やり取りが可能な人材採用サービス「LabBase」「LabBase＋」の提供を行う。また、理系学生向けのオンラインイベントサービス「LabBase Now」の運営も手掛ける。
美容サロン業界の会社,ヘアサロン「LOAVE」を経営している。ヘアサロンは青山店と表参道店の２店舗展開。他にもネイルサロンおよびアイラッシュサロンの経営も行う。ファッション雑誌などのヘアメイクを担当するスタイリストも多数在籍している。
高齢者向け福祉業界の会社,大阪府・京都府・兵庫県・愛知県・福岡県など8ヶ所に訪問看護・リハビリ拠点「ぴ～す」を展開。訪問介護事業・機能訓練型デイサービス事業・訪問歯科サポート事業において、看護師・助産師・歯科医師などが自宅訪問してサービスを提供する。
タクシー業界の会社,沖縄県沖縄市にて、タクシーサービスを手掛ける。
警備業界の会社,主に、名古屋高速道路や新東名高速道路などでの警備や規制、軽作業および保安業務を手掛ける。また、看板・コーンの設置や交通規制などの業務も行う。その他、とび・土工工事も行っている。
塾・受験予備校業界の会社,神奈川県において小中学生や高校生を対象とした学習塾の運営を行っており、高校受験コースや大学受験コースを展開。また、「Hi-STEP」コースにおいて、公立・国私立難関校の受験対策を行う他、個別指導にも対応している。その他、小学生1年生から4年生を対象に学童保育の運営を行っており、学習や運動、将棋などのプログラムを提供する。加えて、保育施設の運営、教材などの原稿および原版の製作、教材の印刷・製本・配送などにも対応する。
Webサービス・アプリ運営業界の会社,国内外のニュース速報をいち早く検知・配信する速報エンジンである「FASTALERT」サービスを提供する会社。共同通信やNHKなどに情報提供を行っている。また、自動ニュース編集・作成サービス「XWire」で、湘南ベルマーレTwitterや産経プラスのツイートや記事を自動作成している。
居酒屋・バー業界の会社,焼き鳥や牛モツ鍋などを提供する焼き鳥店「山長」「いっちゃん」の運営を手掛ける。また、宴会での利用に対応する。その他、蕎麦とカレーを提供する蕎麦店「立来」の運営も行う。
自動車部品・カー用品製造業界の会社,愛知県刈谷市にて、自動車部品および自動車用品の製造を行っている。
高齢者向け福祉業界の会社,通いと宿泊、訪問の3つを組み合わたサービスを提供する、小規模多機能型居宅介護施設「ぼやあ樹」の運営を行っている。24時間365日対応可能な他、施設には専属の看護師がおり、看取りまで行える医療連携体制をもつことが特徴。また、「シェルパ横浜」にて、福祉用具のレンタルサービスを実施する。
高齢者向け福祉業界の会社,東京及び千葉で、居宅介護支援事業所「まごころケアマネジャー事務所」「まごころ葛西」などを運営する。ケアマネジャーが介護全般の相談に応じ、ケアプランの作成を行う。また、ケアマネジャー向け研修を行っており、社内だけではなく社外のケアマネジャーに対しても研修を行っている。
高齢者向け福祉業界の会社,有料老人ホームやデイサービスなど、高齢者向けの福祉施設や福祉サービスの提供や運営を行う。訪問介護や居宅介護支援を手掛ける。他にも認知症の方向けのグループホームや居宅介護支援にも対応する。
Webサービス・アプリ運営業界の会社,レジャー施設などのマーケットプレイスを運営。また、レジャー施設のオンライン予約やチケット販売や、観光商品の販売管理や顧客分析などをサポートするERPシステムを開発している。その他、施設の集客効果の最大化や、業務オペレーションの改善、観光消費の拡大施策などのコンサルティングを行う。
自動車部品・カー用品製造業界の会社,「イエローハット」の運営を行い、愛知と岐阜を中心に店舗展開を行う。主な事業として、カー用品の販売をはじめ、タイヤ・エンジンオイル等の交換、車検や定期点検等の自動車整備等が挙げられる。
高齢者向け福祉業界の会社,都内を中心に、少人数制のデイサービス事業やリハビリデイサービス事業を展開している会社。また、介護相談センターの運営も行っており、介護支援専門員が要介護申請の手続きの代行や、要介護者の心身の状況に合わせたケアプランを作成したりしている。
ホテル・旅館業界の会社,有馬温泉にて、温泉旅館「御幸荘花結び」の運営を行う。露天風呂付き客室を設けているほか、四季の食材を使用した会席料理のほか、かぶと焼きやステーキ、蕎麦などの特別メニューを提供している点が特徴。
Webサービス・アプリ運営業界の会社,主に生活情報サイト「michill」やスタートページ「E START」など一般向けWebサイト運営を行っている。また「黄金爆走！デコトラ★トーナメント」などのゲームアプリ開発、提供も手掛ける。その他、企業向けにはポータルサイトの検索結果へ広告を出せる検索連動型広告「JWord」の運営を行っている。
ホテル・旅館業界の会社,各種グルメコース等を提供する高知県の旅館「城西館」を運営する。またパーティーの企画から演出まで行い、自宅キッチンにシェフが出張調理するパーティーケータリングを展開する。また館内にチャペルが有りウエディング事業も手掛けている。
警備業界の会社,雑踏警備やイベント時の警備、施設警備などの総合警備業を行っている。また、新築マンションの工事現場での警備ゲート管理や、車両の誘導なども手掛ける。
タクシー業界の会社,主に、観光タクシー業や代行運転などを行い、短時間の観光や長時間の観光コースに対応したサービスを提供している。また、外国人向けの多言語通訳サービスや高齢者割引および長距離割引等のサービスにも対応。
人材紹介業界の会社,人材派遣や業務請負、有料職業紹介等の人材紹介を手掛ける。また、求人情報サイト「徳島派遣net」を運営し、求職者向けにキャリアカウンセリングやビジネスマナー研修等も実施。その他、個別指導塾の「スクールIE」を運営する。
ホテル・旅館業界の会社,「ホテルJALシティ宮崎」を運営し、レストランや宴会場を備える。また、駐車場「うえまつパーキング」の運営も行う。その他、不動産の売買や賃貸の仲介およびリースも手掛ける。
ゴルフ場業界の会社,ゴルフ場「錦山カントリークラブ」の運営を手掛ける。通常のコースプレイのほか昼スタートで割安の「薄暮セルフプレー」の提供も行う。また、男女別のクラブセットやシューズのレンタルにも対応。その他、同ゴルフ場内において「レストラン錦山」も運営する。
マンション・アパート賃貸業界の会社,松山市でマンションやアパートなどの不動産賃貸事業を行う。ペット飼育の可能な物件や単身向け物件および保証人がいなくても借りることが可能な物件などを取り扱っている。また、カスタマイズ賃貸などの物件も取り扱う。
塾・受験予備校業界の会社,株式会社KATEKYOグループの子会社の一つであり、福島地区のKATEKYO学院運営を手掛ける。小中学生や高校生および既卒生を対象に個別指導をする。また、家庭教師を派遣し、自宅での学習指導を請負う。不登校児童を対象にした学習指導を行う点が特徴。
ホテル・旅館業界の会社,宮古島で旅行客向けにコテージの運営を行う会社である。また、外食事業として大展望レストラン「オーシャンビスタ」の運営も手掛けている。その他、ゴルフ場施設やオーシャンアクティビティ、フォトウェディングなどの運営も行う。
ゴルフ場業界の会社,ゴルフ場「箱根湖畔ゴルフコース」の運営・管理を行う会社。全18ホールのプレイコースと10打席の練習場を保有する。また、所属プロによるゴルフレッスンを受け付けている。場内にはコンペルームやレストラン、プロショップなどの施設を内蔵する。
自動車部品・カー用品製造業界の会社,栃木県内でイエローハットを運営している。ネット予約でオイル交換を24時間受け付けている他、タイヤやホイールなどのカー用品を販売。車検を始めとした自動車のメンテナンスや部品交換、塗装なども請け負う。
自動車部品・カー用品製造業界の会社,広島県呉市にて、自動車部品および用品の製造を手掛ける。
警備業界の会社,秋田県秋田市にて、交通誘導警備や雑踏警備、および施設警備などの各種警備事業を手掛けている。また、警報装置等の設置工事や各種清掃業務を行う。
警備業界の会社,建設工事や道路工事の現場やイベント会場・横断歩道などで、車両の誘導や歩行者誘導などの交通警備を行う。
ホテル・旅館業界の会社,兵庫県洲本市にて「ホテルニューアワジ」グループのリゾートホテル「夢海游 淡路島」の運営を行う。施設には、スパフロア「海音の森」や大浴場「森のSPA」がある。また、真鯛や鱧、淡路牛および淡路たまねぎ等を使用した料理を提供する。
高齢者向け福祉業界の会社,高齢者向け福祉施設「きららデイサービスセンター」「チームケアステーションきらら」「きららワークスペース」などを運営する。高齢者や障がい者向けの訪問介護サービスや相談支援サービス、送迎による通所サービスを行っている。
ホテル・旅館業界の会社,「清水グランドホテル」と「ホテルサンポート」の運営を行っている。また、「焼肉 ふじみ」や中国料理店「成都飯店」、日本料理店「雄山」などのレストラン運営も手掛ける。その他、パチンコ店「FUJIMI」の運営をも行う。
ゴルフ場業界の会社,徳島市で、ゴルフ場「徳島カントリー倶楽部」の運営を行う。施設内に、レストランや宴会場、温泉施設を備えている。
警備業界の会社,商業施設やオフィスビルなどで警備を行っている会社。管理室でのモニター監視や巡回・出入管理、及び納品口の施設常駐警備や建築現場での車両誘導警備などを手掛ける。また、歩行者案内などの雑踏警備やマラソン大会等のイベント警備なども請け負う。
高齢者向け福祉業界の会社,デイサービスセンターやグループホーム「加治川の里」「つきおか」「あらかわ」などの運営を手掛ける。また、居宅介護支援の事業所ではケアプランの作成や要介護申請等の手続きなどの相談の受付も行っている。その他にも、老人ホームでは24時間365日体制で介護サービスを行う。
人材紹介業界の会社,求人案件の紹介だけでなく、書類作成・面接対策から入社後のフォローに至るまで転職活動全般について支援を手掛ける。特に自社開発した転職活動専用アプリを活用したサポート体制に特徴がある。更には、転職活動の講習会や高校でのキャリア教育授業等、若手向けの幅広いキャリア支援活動を実施している。
自動車部品・カー用品製造業界の会社,射出成形機を使って自動車用プラスチック部品の成形を手掛ける。その他、二次加工の製造も行う。田野口駅すぐに工場を構える。
警備業界の会社,北関東エリアを中心に公共施設や学校などの常駐警備および現金輸送時等の輸送護送から、シークレットまでサービス事業などの総合警備を請け負っている。またAEDや、防犯カメラなどの防犯および防災商品の販売も手掛ける。他にも、指定管理物件の運営や保育事業も行う。
美容サロン業界の会社,美容院やネイルサロン、スパサロンを併設したトータルビューティーサロン「M.SLASH」などの店舗を展開する会社。また、ヨガ教室やフォトスタジオも運営している。
ホテル・旅館業界の会社,「熊野ビジネスホテル河上」や「新宮ホテルニューパレス」、「熊野ホテルなみ」などのビジネスホテルを運営している。また温泉大浴場を完備し、熊野産の食材を使用したコース料理を提供する大型温泉ホテル「海ひかり」を運営する。
居酒屋・バー業界の会社,もつ鍋やめんたいダシ巻きなどの料理を提供する居酒屋「博多満月」や、国産鶏を使用した料理を提供する居酒屋「全力鶏」の運営を手掛けている。また、ステーキやハンバーグを提供する「モンスターグリル」や、イタリアンバル「大衆ビストロ VACA」の運営も行う。
タクシー業界の会社,熊本県菊池郡にて、タクシーや介護タクシーの配車および運用を行っている。また、地域内で行われるイベントの送迎も請け負う。
中古車販売業界の会社,新車および中古車の車両販売や部品販売、自動車のカスタム化や修理および整備、車検などを手掛ける。また、カスタム車やアメリカ車の車検に加え、輸入代行の国内登録や自動車事故の対応なども行う。その他、レンタカーやレッカーサービスも行っている。
警備業界の会社,主に、三重県及び愛知県内において警備やビル管理を請け負う会社。警備事業は施設警備や交通誘導警備に加えて、イベント警備のサービスも提供する。また、ビル管理事業は、マンションやテナントビルの管理のほか、清掃事業も行っている。
警備業界の会社,道路工事や建設工事および土木工事の現場における交通誘導を手掛ける。また、イベントやコンサートならびに展示会などにおいて、入場整理や誘導を含む雑踏警備も行う。さらに、オフィスビルや空港に加え、商業施設や公共施設および医療施設などにおける施設警備に携わる。
高齢者向け福祉業界の会社,独り暮らしの高齢者または障害者を対象に、緊急通報システムおよびサービスを提供する。体調に不安を感じた利用者がシステムのボタンを押すことで看護師に繋がり、容体に応じて救急車要請などを行う。また、高齢者や障害者が徘徊したときに検索可能な、徘徊位置検索システムも取り扱う。
自動車部品・カー用品製造業界の会社,自動車部品や工業用部品の製造を請負っている。また、プラスチック射出成型によるプラスチック製品の製造を行う。
