業界,概要文
自動車部品・カー用品製造業界の会社,主にホルダーやアダプターなどの自動車用安全部品の加工を手掛ける。また、パイプをジョイントする構成部品の継手も製造。さらに、トンネル工事などで使用される非火薬品のガンサイザーの製造も行う。得意分野は、アルミとSUSと鉄製の切削加工。
Webサービス・アプリ運営業界の会社,群馬県の老人ホーム検索・紹介サイト「群馬県老人ホーム・介護施設紹介センター」を運営している。有料老人ホームをはじめ、特別養護老人ホーム、デイサービス・訪問介護・居宅介護支援や、介護老人保健施設などの介護施設が検索できる。
マンション・アパート賃貸業界の会社,福岡県の不動産の賃貸や売買の仲介および賃貸管理を行っている。お部屋探しサイトの運営と実店舗を福岡市内で展開しており、不動産情報を提供している。戸建やアパート及びマンションなど居住用の物件を取り扱う。また、内外装および外構のリフォーム工事も行っている。
高齢者向け福祉業界の会社,居宅介護支援や訪問介護事業などの高齢者支援事業を行う。また、デイサービス施設の運営を行い、入浴介助や食事のサービスを提供する。その他、認知症対応型グループホームやサービス付き高齢者向け住宅の運営にも取り組む。
ホテル・旅館業界の会社,愛知や三重および静岡や東京で「三交イン名古屋伏見」や「三交イン豊田～四季乃湯～」などのビジネスホテルの運営を行う。また、低反発ウレタンやクリスターなど枕の選択や、無料のコーヒーの提供などのサービスが特徴。
ホテル・旅館業界の会社,「マリンポートホテル海士」の運営を手掛ける。ホテルは、バーベキュー設備や展望浴場「承久の湯」などの入浴設備を有する。また、水中展望船「あまんぼう」の運航なども行う。
金属部品製造業界の会社,オイルポンプやハウジング、シリンダやシートバルブなどの鋳造製品の設計や製造を行う。また、インテークマニホールドやウォーターポンプなどの製品の設計および製造も手掛ける。その他、自動車用部品や鉄道車両用部品、および船舶用部品やコージェネ用部品の製造も請け負う。
高齢者向け福祉業界の会社,介護支援専門員が訪問し、介護サービスの提案や連絡調整を行う居宅介護支援事業を行う。また、デイサービスセンターや訪問看護リハビリステーションなどを運営している。訪問介護事業所の運営も手掛ける。
金属部品製造業界の会社,ねじやボルトおよび鉄構副資材の卸売を行う。また、大型機械や精密機械の加工を請け負う。その他、外装建材や線材の卸売にも対応する。
ホテル・旅館業界の会社,「上高地五千尺ホテル」「上高地五千尺ロッヂ」の運営を手掛けている。また、ケーキやイタリア料理を提供する「ファイブ・ホルン」や、ネイチャーガイドを行う「ナショナルパークガイド」の運営にも取り組む。その他、「五千尺ホテルチーズタルト」などのWeb販売も行っている。
中古車販売業界の会社,岩手県二戸市にてマツダ車などの中古車の販売を行っている。
自動車部品・カー用品製造業界の会社,アメリカに本社を置くハウメット・エアロスペース社の日本拠点であり、トラックやバスなどの鍛造アルミホイールの製造と販売を行う。また、独自の表面処理により汚れや腐食を受けにくいのが特徴の「デュラ・ブライト」などの製品も取り扱う。
高齢者向け福祉業界の会社,同社のデイサービス｢サロンデイ｣は神奈川県を中心に40施設を運営する。｢サロンデイ｣は機能訓練型のデイサービスで、マシントレーニングや歩行トレーニング、全身部位のもみほぐしなどを中心に行うのが特徴。また、居宅介護支援事業所「薬クリエイトの介護支援センター」の運営を行う。
タクシー業界の会社,岡山県岡山市でタクシーによる旅客の運送や運転代行業、並びにスロープ付き小型福祉タクシーによる介護タクシーの運行を手掛ける。またタクシー代行や買い物代行、飲食店と提携しての宅配サービスにも対応している。
自動車部品・カー用品製造業界の会社,株式会社イエローハットのグループ会社として、カー用品専門店「イエローハット」のうち、千葉県内の店舗の運営を行う。主にタイヤやオイル、ホイールなどカー用品の販売や取付業務を手がける。また、車検整備や板金塗装などのメンテナンスサービスを提供。
自動車部品・カー用品製造業界の会社,自動車の部品や建設機械の油圧部品などを製造・販売する会社。自動車部品では、燃料噴射装置やブレーキ、カーエアコン関連の機能部品を得意とし、精密加工の必要な電子部品などの製造も手がけている。アメリカ・中国・メキシコにも生産拠点を持つ。
食品店業界の会社,「スーパーよどばし」などのスーパーにおいて鮮魚や寿司などの加工・販売を行っている。また、干物定食などを提供するフードコート内の定食屋「するが食堂」を運営している会社である。
Webサービス・アプリ運営業界の会社,サンプリングECサイト「サンプル百貨店」や有料サンプリングサービス「ちょっプル」の運営を手掛ける。さらに、サンプリングイベント「RSP」「RSL」の開催も請け負う。また、女性向けファッションのサイト「MUSE&Co.」の運営を行う。
金属部品製造業界の会社,各種精密ピンやパンチ等の冷間鍛造金型用部品や、エジェクタビン等のプラスチック金型部品といった、精密金属加工製品の製造および卸売を手がける。機械加工や放電加工、研削加工といった精密加工や、ラップ研磨およびバレル研磨等を自社工場で行っている点が特徴。
警備業界の会社,関東を中心に交通誘導や駐車場警備、雑踏警備や施設警備などを行っている会社。交通誘導では集合住宅や戸建建築工事、駐車場警備では店舗での誘導を行う。また、雑踏警備ではイベントやお祭りなどの危険防止、施設警備ではオフィスビルや医療施設などの保安に努める。
高齢者向け福祉業界の会社,介護に関するあらゆる相談に対応可能な大阪府の指定居宅介護支援事業所。介護保険適用者には申請・プラン作成やサービス提供までトータルにサポートする。また、訪問介護やデイサービスも提供する。住宅型有料老人ホーム「ぐろーばる巽の家」の運営も行う。
警備業界の会社,商業施設やビル、病院や工場および官公庁施設などを対象に常駐警備を手掛けている。また、駐車場などの交通誘導警備およびイベントなどに対応する臨時警備も請け負う。
人材紹介業界の会社,海外人材や在日外国人を対象にしたマーケティング事業を手掛ける。市場調査やオンライン座談会、SNSを用いた商品のPR紹介など消費に関する調査分析を行う。また、外国人を中心に食品製造業や物流業、小売業などへ人材紹介を行う。その他、外国人登録支援機関の業務に取り組む。
美容サロン業界の会社,理容室の運営を行っており、カットやシェービング、カラーやパーマなどのサービスを提供する。メンズメニューのほかに、レディース向けのブライダルシェービング、デコルテシェービングなどにも対応している。
高齢者向け福祉業界の会社,岐阜県美濃加茂市を拠点として、高齢者向け施設「デイサービス 本郷ふふ」の運営を手掛ける。また、居宅介護支援事業所の運営も行う。施設内には、足湯やキャスター付きのリクライニング椅子が設けられている。
高齢者向け福祉業界の会社,千葉県指定の居宅介護支援・訪問介護事業者である。高齢者および障がい者支援事業全般を請け負い、市区町村と連携して地域密着型のサービスを提供している。「さわやかデイサービス八街」「さわやかリビング成田」では訪問介護を中心に、「CSKシニアハウス」では有料老人ホームとして自立生活を手助けする。
タクシー業界の会社,観光案内や福祉車両、ジャンボタクシーによる団体利用にも対応した「文化タクシー」の運営を行う。また、住宅型老人ホーム「カサ・デ・ファミリア」居宅介護やデイサービスを行う「スマートホーム・パティオ」等の高齢者福祉施設の運営も手がける。
自動車部品・カー用品製造業界の会社,射出成形機および各種組立関連加工機を保有し、自動車など輸送機器のエンジンに使用するオイルフィルターやエアクリーナーの製造組立を行う。また、樹脂成形部品など内装部品の成形を手掛けている。
自動車部品・カー用品製造業界の会社,オートバイ・自転車洋のヘルメットの開発・製造・販売を行っている。世界初の「トップベンチレーションシステム」を採用するなど、徹底して風の流れ や空力にこだわって研究開発を行っている。また、安全性能にも力を入れており、衝撃吸収試験はセンサー付き人型模型を用いてリアルな安全性を追求。
タクシー業界の会社,東京都昭島市を拠点に営業するタクシーの会社。全車両にIP無線機・カーナビを装備するデータ配車システムを採用しているほか、ETC・クレジット決済機を全車両に装備している。また、配車アプリ「全国タクシー」にも対応している。
ホテル・旅館業界の会社,雲仙の温泉旅館「東園」の運営を行う。有明海産の魚介類や雲仙島原産の野菜を使用した懐石料理を提供している。日帰り食事つきプランから、団体予約やウェディング、宴会予約まで請け負う。
居酒屋・バー業界の会社,東京都練馬区において、バーの運営を行う他、飲食店の開業支援として、自社店舗の運営の業務委託を行う。また、不動産の賃貸仲介にも取り組み、アパートやマンション及び戸建住宅、店舗などの不動産を取り扱う。
ゴルフ場業界の会社,「真駒内カントリークラブ」の他、「滝のカントリークラブ」「羊ケ丘カントリークラブ」の運営を行う。いずれのゴルフ場も札幌市内に設けられており、合計ホール数は81。それぞれのゴルフ場にて18ホール、ストロークプレーで競うオープンコンペを開催する。
金属部品製造業界の会社,建設車両や産業車両、農機具ならびに自動車用などの金属部品のプレス加工を手掛ける。さらに、レーザー加工や溶接加工、塗装や組み立てなどにも対応する。その他、電力送電や工事用工具の部品、遮断機や信号機用の部品なども扱う。
高齢者向け福祉業界の会社,訪問介護事業所「Bee-Hive」及び、通所介護事業所「デイサービスBee-Hive」の運営を手掛ける。ケアプランの作成や日常生活援助、並びにサービス事業者との連絡調整を請け負う。さらに、放課後等デイサ一ビス「ぶんぶん」の運営も行う。
高齢者向け福祉業界の会社,介護サービス施設「あまもくケアセンター」を運営し、居宅介護支援やデイサービスを提供している。ケアマネージャーによるケアプランの作成や相談、手続き代行等にも対応。また日常生活での介護や機能訓練サービスの提供も手がけている。
高齢者向け福祉業界の会社,ケアプランの作成や介護保険の給付管理などを行う居宅介護支援施設「ケア・スポット おくど」「ケア・スポットふなぼり」などを運営する。また、手すりやスロープ及び歩行器や車いすの他、認知症老人徘徊感知器や自動排泄処理装置などの福祉用具の貸与や販売を行う。
タクシー業界の会社,大阪府枚方市を中心に営業しており、78台のタクシーを保有している。インターネットからの配車手配やクレジットカード支払いに対応している。また、観光タクシーの運行や妊婦支援も行う。第一交通産業グループに属している。
タクシー業界の会社,釧路市を中心に、一般タクシーや観光タクシー、介護タクシーなどのタクシーを運行している。また、車検や定期点検、板金塗装などの自動車整備も請け負う。
ゴルフ場業界の会社,ゴルフ場「森林公園ゴルフ倶楽部」の運営を手掛ける。施設内ではレストランや浴場ならびにロッカールームの他、地元の食材を販売する売店などを併設している。さらに、ゴルフ場のWeb予約を会員制で行っている。その他、ゴルフ用品のレンタルにも対応。
タクシー業界の会社,栃木県でタクシーの運行を行っている。GPS-AVMを利用した配車システムを導入していることが特徴。また、ジャンボタクシーや黒塗りハイヤー仕様車も保有する。
警備業界の会社,愛知県安城市を拠点に、公園内の巡回や監視業務などの警備業を手がけている。
自動車部品・カー用品製造業界の会社,車検切れや自走不能等で不要となった車両を無料で回収し、解体・分別を施すことで資源として再利用している。また、ボディパーツやエンジン関係、室内電装品といったリサイクル・リビルトパーツの生産及び販売を手がけており、Webサイト上での販売も行う。
高齢者向け福祉業界の会社,サービス付き高齢者向け住宅「グループホーム風の郷」や「有料老人ホーム風の宿」の運営を行う。また、通所介護サービス事業所「デイサービス風の丘」の運営にも携わる。
タクシー業界の会社,滝川市を中心にタクシーを運行している会社である。小型タクシーやジャンボタクシー、小型バスなどを保有し、走行距離運行だけでなく観光用貸切運行にも対応する。さらに、車いすやストレッチャーで乗車できる福祉車輛の運行も行っており、通院だけでなく観光利用にも応じている。
ホテル・旅館業界の会社,鬼怒川温泉にてリゾートホテルの運営を行っており、様々な宿泊プランを提供している。日光に位置するため周囲には観光スポットが豊富で、日光を訪れた観光客に向けてレストランや日帰り入浴施設を運営・提供している。
居酒屋・バー業界の会社,居酒屋「べっか」「あげ福」やベーカリー「コシニール」の運営を行っている。また、カフェ「タリーズコーヒー」や中華料理店「大阪王将」のフランチャイズ店の運営も手掛ける。その他、児童発達支援スクール「コペルプラス」を展開している。
タクシー業界の会社,滋賀交通グループのグループ企業として、滋賀県を中心としたタクシーの運行を手掛ける。
ホテル・旅館業界の会社,那覇市でホテル「琉球サンロイヤルホテル」を運営する。主にビジネスマンや観光客を対象にシングルルームやツインルームを中心とした宿泊施設である。レストランやカフェもあり、会議や宴会などにも対応。その他、ケータリングなどのサービスも提供している。
タクシー業界の会社,24時間365日体制で下川市北部で運行しているタクシー会社である。一般的なタクシー業務以外にも、介護タクシーや子供一人の移動をサポートする子育て支援タクシーのサービスを行っている。
高齢者向け福祉業界の会社,主に、兵庫・大阪を中心とした居宅介護支援サービスとホームヘルパーによる訪問介護サービスを提供している。また車椅子やベット、歩行器といった介護用具のレンタル・販売、さらに介護リフォームを行う。特別養護老人ホームを三箇所運営。
食品店業界の会社,黒毛和牛や愛知県産三州豚、静岡県産ハーブ鶏などの販売店「肉のくわばら」を運営する。手造りハンバーグミートや餃子の具の他、ロースとんかつ等の惣菜の製造および販売も行う。また、弁当や自家製牛タレ、自家製豚タレなどの販売も手掛ける。
高齢者向け福祉業界の会社,「デイサービスセンターこもれび」の運営や併設事業のショートステイの他、ケアプランの作成などの居宅介護支援を行う。その他、介護タクシー事業として「こもれび介護タクシー」も手掛ける。
保険代理店業界の会社,保険サービス事業を行なっている。医療法人および医療従事者を対象とした保険や教職員向け保険、経営者や個人を対象とした保険を取り扱う。また、相続税対策などにも対応。
自動車部品・カー用品製造業界の会社,自動車部品の製造を行っており、ボデー部品およびシート部品を中心に製造している。また、パイプジョイントなどの樹脂成形品の製造も手掛ける。
自動車部品・カー用品製造業界の会社,自動車メーカーの一次下請け会社に、少量多品種の自動車部品の製造、販売を行っている。高級SUV車の外部パーツを主に生産する。
Webサービス・アプリ運営業界の会社,アプリケーションの受託開発やシステムの開発を行っている。Amazon Web Serviceの活用やスマートフォン向けシステムの開発のほか、脆弱性に対するWebプログラミングや暗号化、電子署名を適用した通信ロジックの実装なども手掛ける。
人材紹介業界の会社,在日の外国人求職者と企業とをつなぐ求人プラットフォーム「Guidable Jobs」や「外国人採用HACKS」の運営を手掛ける。また、派遣事業者向けに特化した外国人求職者集客の為の求人プラットフォーム「Guidable Jobsハケン」や「派遣ミーツ」の運営も展開する。その他、日本で暮らす外国人向けの生活情報サービス「Guidable Japan」なども運営する。
Webサービス・アプリ運営業界の会社,歯科業界情報サイト「WHITE CROSS」を中核としたデジタル・プラットフォームの運営を行う。歯科医療に関わる基本的な知識や技術情報・教育インフラを提供し、産業向けコンサルティングやマーケティング支援サービスに取り組む。また、歯科医師専門の就職・転職支援サービスなどの求人サイトの運営を行う。
高齢者向け福祉業界の会社,主に、指定認知症対応型共同生活介護を提供する「グループホーム のぞみ」の運営を手掛ける。また、高齢者介護施設やデイサービスを行う「のぞみ 大門」の運営も行う。その他に、居宅介護支援事業所「のぞみ」を運営する。
人材紹介業界の会社,女性を中心に、介護や医療機関を専門とした人材紹介を手掛ける。介護に関するセミナーの開催や仕事開始後の相談なども行う。また、高齢者や施設に向かいヘアカットやスキンケアなどのサービスを提供する訪問美容事業を展開する。
タクシー業界の会社,福岡県北九州市を拠点に、主にタクシーでの運送業務に取り組む。
タクシー業界の会社,東京都北区を拠点にタクシーの運行を行う。事前に予約する事でタクシー料金が定額となるサービスを展開する事が特徴。
食品店業界の会社,アミューズメントフードホールハローデイのグループ会社である。主にスーパーの鮮魚コーナーで魚の切り身や刺身、寿司などの生鮮食料品や加工調理食品の販売を手掛ける。
タクシー業界の会社,福岡県福岡市を拠点として、タクシー業を手掛けている。
美容サロン業界の会社,全国に女性専用の脱毛専門サロン「銀座カラー」を展開している。脇や足などの部分脱毛から全身脱毛までのカウンセリングと脱毛施術を手掛ける。また、オリジナル保湿ケア「美肌潤美」のフェイスパックやローションの販売も行う。
タクシー業界の会社,神奈川県湘南地区や藤沢市を拠点とし、カーナビや車両内外ドライブレコーダーを搭載したタクシーの運行を行う。また、24時間体制での配車の予約やクレジットカードでの支払いにも対応する。
タクシー業界の会社,タクシー運転業務を行う。主に千葉県柏市を中心とした地域において運行を手掛ける。
人材紹介業界の会社,主婦層に特化した事業を行う会社で、主にキャリア支援やネットリサーチやモニターリサーチなどのマーケティングを行っている。またサイトの企画・制作・運営や、商品の企画・開発等のコンサルティングも請け負う。その他、主婦向けの情報サイトの運営も手掛けている。
マンション・アパート賃貸業界の会社,島根県松江市にて、戸建て住宅やマンション、アパートなどの不動産賃貸や売買の仲介を手掛ける。また、不動産管理業や建物のメンテナンス、およびリフォーム工事を行う。他にも、土地の査定や空き家管理相談を受け付ける。
水産物食品専門商社業界の会社,原料の仕入れから製造、販売までを一貫して行っている。商品は「博多にぞっこん」シリーズや明太子の食べ比べセットなどがある。OEM生産事業も展開しており、百貨店等の独自企画商品やコラボ商品の開発を行う。商品はオンラインショップで購入できる。
高齢者向け福祉業界の会社,エステティックやネイルケア、マッサージなどのサービスを受けられる高齢者向けデイサービスを運営。また、介護サービス付き高齢者住宅「アクティブシニアタウン町田」の運営も手掛ける。その他、有料老人ホーム「サンスマイル八王子高尾」のような事業展開も行う。
金属部品製造業界の会社,金属の塗装や溶接などの加工および金属部品の製造を手掛ける。主に、産業機械や各種コンべアーならびに金属工作機械の部品などの製造を行っている。また、自動車の板金塗装や各種ボデーの改造を実施。
タクシー業界の会社,観光や大人数での移動で用いられるハイヤーやタクシーの運行を行っている会社。ハイヤーは、ワンボックスカーで運行している。タクシーはアプリでの配車が可能。そのほか、忘れ物などをSNSで公開するサービスなどを行っている。
中古車販売業界の会社,主に、中東・北アフリカ市場を中心にトヨタグループの現地代理店の立ち上げ支援を手掛ける会社。また、省エネ関連製品や農林業機械の輸出・販売を行う。そのほかにも、再生エネルギー事業の展開やレクサス販売店の運営にも取り組む。
自動車部品・カー用品製造業界の会社,プラスチック成型機や合皮手巻き貼り付けを駆使し、自動車の内装部品の製造を主に行っている。ドアアームレストやドアセンターなどの内装部品を主要製品とし、圧着や孔あけプレスなどの機械設備と特殊技能を活かした製造が特徴。
自動車部品・カー用品製造業界の会社,富山県下新川郡で自動車の部品や用品の製造を行う。
高齢者向け福祉業界の会社,介護付有料老人ホーム「フラワーガーデン」の運営を手掛ける。また、グループホームおよびショートステイ、デイサービス施設を併設し、サービスの提供を行う。そのほか、住宅型有料老人ホーム「フラワーガーデン・ララ」の運営にも携わる。
ホテル・旅館業界の会社,群馬県草津温泉で最大収容人員933名を収容するホテルを運営する。風呂は大浴場･露天風呂があり、客室は桃山文化の粋を集めた部屋であるのが特徴。また、カラオケボックスや屋外プール、宴会場ならびに会議室などのパブリックスペースの提供を行う。
食品店業界の会社,栃木県で農産物直売所「あぜみち」を経営している。一般客および契約しているレストランに向けて、地元の農家から仕入れた野菜などの販売や地元産の野菜を使った惣菜やお弁当も販売している。
塾・受験予備校業界の会社,関西地方で学習塾「スクールIE」をフランチャイズ展開して運営する事業を主力としている。他に英会話スクール「WinBe」や、関西大学の学生向けマンションの不動産賃貸業も行う。学生や教育関係以外にも介護業界への参入も行っており、デイサービス「SD健寿」を1拠点運営している。
警備業界の会社,合建警備保障株式会社のグループ企業である。雑踏警備や官公庁および民間オフィスビルや病院、レジャー施設等の清掃設備管理を請け負う。その他に交通誘導などを手掛ける。
金属部品製造業界の会社,液晶・半導体・医療機器装置部品・食品関係装置部品・各種製造装置部品などの製造を行っている。精密なフライス加工（多数の切れ刃を持つフライスで面加工を行うこと）を行う、5軸制御マシニングセンタ（X軸・Y軸・Z軸と2軸の旋回軸をもち、種々の作業ができる工作機械）を強みの設備としている。
警備業界の会社,博多市を中心にお祭りやイベント会場での警備を請け負う。また、工事現場や道路工事などでの交通誘導なども行う。
金属部品製造業界の会社,エレベーターや工作機械に使用される銑鉄鋳物の製造・販売を行う。2018年現在では1か月あたり500tの生産能力があり、2t/炉の高周波電気炉を有している。
高齢者向け福祉業界の会社,「住宅型有料老人ホーム 住ま居るメディカ」という老人ホーム施設の運営を行う。また、通常規模通所介護施設「デイサービスセンター住ま居る」という施設においてリハビリテーションや看護や介護を請け負う。その他、訪問介護事業も手掛ける。
警備業界の会社,ホームセキュリティーサービスなど警備保障サービスを手掛ける。
警備業界の会社,神奈川県横浜市を拠点に、工事作業所などでの交通誘導警備をはじめとした警備業を手掛ける。警備業大手や準大手、ゼネコンからの委託を請け負う。
警備業界の会社,オフィスビルなどの施設に警備員が常駐する施設警備や、工事現場や駐車場で車両誘導を行う交通誘導警備などを行う。そのほか、施設や工事現場への定期巡回や、お祭り・イベントなどでの雑踏警備も担っている。京浜警備保障グループ内の1社。
金属部品製造業界の会社,産業用機械部品の製造を主力事業としており、建設機械用ブームやアーム連結ピン、トラックローラなどの製造および販売を手掛ける。また、フォークリフト用部品や農業機械部品も扱っており、単一工程加工や外型超仕上げ加工の請負も行う。
ホテル・旅館業界の会社,総合リゾート施設「当間高原リゾート ベルナティオ」の運営を手掛けており、ホテルやゴルフ場の他レストランなど併設する施設の運営も行う。その他、新潟県の特産品を中心に自社Webサイトにて通販を行っている。「にいがた和牛カレー」などの自社商品のほか、魚沼産コシヒカリなどの商品を取り扱う。
高齢者向け福祉業界の会社,奈良県桜井市にて介護事業の運営を行い、デイサービスの送迎やショートステイでの介護、訪問介護や入浴介助を請け負っている。
金属部品製造業界の会社,油圧部品やブレーキ、ボビンなどの工業用ミシンの部品製造を行う会社である。電解、ブラシや高圧水噴射を取り入れた機械によるバリ取りを行っている。その他にもエクスツルードホーンという技術を使い、加工を行う。
金属部品製造業界の会社,ブルドーザーやパワーショベル、ミニショベルなどの建設機械用の足回り部品である履帯の製造を鍛造から組み立てまで手掛ける。また、大型トランスファープレスを使用した履帯用鍛造リンクの製造や熱処理、機械加工ならびに販売も行っている。
ゴルフ場業界の会社,ゴルフ場「那覇ゴルフ倶楽部」を運営を行う。全18ホールあり、全組キャディーが付き、カートも装備している。また、練習場を備えられており、他にも浴場やレストランにコンペルームと施設を保有する。
タクシー業界の会社,日の丸自動車グループの会社で、タクシー運送を手掛けている。外国人の利用客に対応できるよう、希望があったドライバーには語学研修を受けさせていることが特徴。
警備業界の会社,交通誘導警備や各種施設における警備を中心に行う会社。他にも、イベントにおける雑踏警備や高速道路警備・更に施設内の巡回警備など様々な種類の警備活動を行う。公式サイトでこれらの警備に関する依頼を募集している。
ホテル・旅館業界の会社,草津温泉「昔心の宿 金みどり」の運営を行い、大浴場や貸切温泉を提供している。また、食事処や宴会場の設営も手掛ける。
金属部品製造業界の会社,自動車やコピーなどのOA機器に使用される金属部品の製造を行う。また、プレス金型や試作板金などの設計から製造までを手掛ける。その他、業務用コーヒーサーバーやゲーム機ならびに自動販売機などの製造にも対応。
居住用リフォーム業界の会社,LPGの供給や配管工事、ガス機器の販売・施工に加えて、家庭電化製品や照明器具の販売も行っている会社。その他、衛生機器やユニットバスといった住設機器の販売・施工、リフォーム工事なども手掛ける。
ホテル・旅館業界の会社,高知市において「高知パレスホテル」の運営を行う。また、ホテル内にてフランス料理店「ビュッフェレストラン エズ」を運営し、創作料理をビュッフェ形式で提供する。その他、高知大丸の食品売り場にて、洋惣菜店、洋菓子店を出店する。さらに、「とんかつ専門店 かつれつ亭」「高知家の食卓 りょうま」の運営も手掛ける。
居酒屋・バー業界の会社,飲食店では、かっぱ寿司等チェーン店の運営を行っている。また、フランチャイズ店舗としてサンマルクなどの運営も行っている。
ホテル・旅館業界の会社,大浴場や展望貸切風呂、露天風呂などの温泉を備える純和風旅館「四万やまぐち館」の運営を主な業務とする。洋室、和室タイプのほかに露天風呂付客室などの客室を備えている。